name,short_name,ISIC4,ISIC4_one,ISIC3_one,ISIC3_one_secondary
"Agriculture, hunting, forestry","Agriculture, hunting, forestry","01, 02",A,A,
Fishing and aquaculture,"Fishing, aquaculture",3,A,B,
"Mining and quarrying, energy producing products",Mining (energy),"05, 06",B,C,
"Mining and quarrying, non-energy producing products",Mining (non-energy),"07, 08",B,C,
Mining support service activities,Mining (support),9,B,C,
"Food products, beverages and tobacco",Food,"10, 11, 12",C,D,
"Textiles, textile products, leather and footwear","Textiles, leather, footwear","13, 14, 15",C,D,
Wood and products of wood and cork,Wood,16,C,D,
Paper products and printing,Paper & printing,"17, 18",C,D,
Coke and refined petroleum products,Coke & petroleum,19,C,D,
Chemical and chemical products,Chemical,20,C,D,
"Pharmaceuticals, medicinal chemical and botanical products",Pharmaceuticals,21,C,D,
Rubber and plastics products,Rubber & plastic,22,C,D,
Other non-metallic mineral products,Non-metal,23,C,D,
Basic metals,Basic metals,24,C,D,
Fabricated metal products,Metal products,25,C,D,
"Computer, electronic and optical equipment","Computer, electronics, optical equipment",26,C,D,
Electrical equipment,Electrical,27,C,D,
"Machinery and equipment, nec ",Machinery,28,C,D,
"Motor vehicles, trailers and semi-trailers",Motor,29,C,D,
Other transport equipment,Other transport equipment,30,C,D,
Manufacturing nec; repair and installation of machinery and equipment,Other manufacturing,"31, 32, 33",C,D,
"Electricity, gas, steam and air conditioning supply",Utilities,35,D,E,
"Water supply; sewerage, waste management and remediation activities",Water & sewage,"36, 37, 38, 39",E,O,D
Construction,Construction,"41, 42, 43",F,F,
Wholesale and retail trade; repair of motor vehicles,Wholesale & retail,"45, 46, 47",G,G,
Land transport and transport via pipelines,Land transport,49,H,I,
Water transport,Water transport,50,H,I,
Air transport,Air transport,51,H,I,
Warehousing and support activities for transportation,Warehousing,52,H,I,
Postal and courier activities,Postal services,53,H,I,
Accommodation and food service activities,Accommodation & food,"55, 56",I,H,
"Publishing, audiovisual and broadcasting activities",Publishing & audiovisual,"58, 59, 60",J,O,K
Telecommunications,Telecom,61,J,O,I
IT and other information services,IT,"62, 63",J,K,
Financial and insurance activities,Financial & insurance,"64, 65, 66",K,J,
Real estate activities,Real estate,68,L,K,L
"Professional, scientific and technical activities",Professional & scientific,69 to 75,M,K,
Administrative and support services,Admin,77 to 82,N,K,
Public administration and defence; compulsory social security,Public,84,O,L,
Education,Education,85,P,M,O
Human health and social work activities,Health,"86, 87, 88",Q,N,
"Arts, entertainment and recreation",Art & entertainment,"90, 91, 92, 93",R,O,
Other service activities,Other services,"94,95, 96",S,O,D
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Household,"97, 98",T,P,
